artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
Guanqun Yu,1,2016,"Best Engineered Album, Classical",album
Guasábara Combo,1,2016,Best Tropical Latin Album,album
Gucci Mane,1,2019,Best R&B Performance,track
Gulzar,1,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Gunna,1,2019,Best Rap/Sung Performance,track
Gunther Schuller,1,1975,"Best Album Notes, Classical",album
Gustavo Dudamel,1,2019,Best Contemporary Classical Composition,other
Guy Berryman,1,2008,Song Of The Year,track
Guy Clark,1,2013,Best Folk Album,album
Gwen Stefani,2,2001,Best Rap/Sung Collaboration,other
Gwen Verdon,1,1959,Best Broadway Show Album,album
H.E.R.,7,2019,Best R&B Performance,track
Haim,1,2018,Best Remixed Recording,track
Halestorm,1,2012,Best Hard Rock/Metal Performance,track
Hank Azaria,1,2005,Best Musical Show Album,album
Hank Dutt,1,2003,Best Chamber Music Performance,track
Hank Neuberger,1,1986,Best Contemporary Folk Recording,track
Hank Williams,5,1989,Best Country Vocal Collaboration,album
Hans Zimmer,2,1995,Best Instrumental Composition Written For A Motion Picture Or For Television,album
Hargus Pig Robbins,1,1977,Best Country Instrumental Performance,track
Harley Allen,1,2001,Best Country Collaboration With Vocals,other
Harold Faltermeyer,1,1986,"Best Pop Instrumental Performance, (Orchestra, Group Or Soloist)",track
Harry Belafonte,3,1959,Best Engineering Contribution - Other Than Classical Or Novelty,track
Harry Connick,3,1989,"Best Jazz Vocal Performance, Male",track
Harry Nilsson,2,1969,"Best Contemporary Vocal Performance, Male",track
Harvey Fierstein,1,2002,Best Musical Show Album,album
Heath Fogg,1,2015,Best Rock Song,track
Heather Buck,1,2011,"Best Engineered Album, Classical",album
Heather Headley,1,2009,Best Contemporary R&B Gospel Album,album
Helen Hayes,1,1976,Best Spoken Word Recording,track
Helen Martin,1,1974,Best Score From The Original Cast Show Album,album
Helen Raymond,1,1958,Best Original Cast Album (Broadway Or TV),album
Helen Reddy,1,1972,"Best Pop Vocal Performance, Female",track
Hendricks And Ross,1,1961,Best Performance By A Vocal Group,track
Henry Fonda,1,1976,Best Spoken Word Recording,track
Henry James Townsend,1,2007,Best Traditional Blues Album,album
Henry Krieger,1,2007,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Henry Lewis,1,1980,Best Classical Vocal Soloist Performance,track
Henry Mancini,22,1961,Best Instrumental Arrangement,other
Henry Rollins,1,1994,Best Spoken Word Or Non-Musical Album,album
Her,2,2019,Best American Roots Performance,track
Herb Alpert,2,1979,Best Pop Instrumental Album,album
Herb Alpert And The Tijuana Brass,6,1965,Best Instrumental Arrangement,track
Herbert Blomstedt,1,1995,Best Classical Engineered Recording,track
Herbie Hancock,11,1998,Best Instrumental Composition,other
Hermione Gingold,1,1976,Best Recording For Children,track
Hermitage Piano Trio,1,2019,"Best Engineered Album, Classical",album
Hezekiah Walker,1,2001,Best Gospel Choir Or Chorus Album,album
High On Fire,1,2018,Best Metal Performance,track
Highgate School Choir,1,1963,Best Classical Performance - Choral (Other Than Opera),track
Hillary Rodham Clinton,1,1996,Best Spoken Word Or Non-Musical Album,album
Hillary Scott,1,2016,Best Contemporary Christian Music Album,album
His Band,2,1992,Best Polka Album,album
His Latin Ensemble,2,1983,Best Tropical Latin Performance,track
His Orchestra,5,1960,Best Polka Album,album
His Red Hot Louisiana Band,1,1983,Best Ethnic Or Traditional Folk Recording,track
His Texas Playboys,1,1974,Best Album Notes,album
Hit-Boy,2,2019,Best Rap Performance,track
Hoagy Carmichael,1,1981,Best Historical Album,album
Hoelscher/Mattes,1,1974,Best Album Notes - Classical,album
Hollywood Bowl Orchestra,1,1958,Best Classical Performance - Orchestra,track
Homer And Jethro,1,1959,Best Comedy Performance - Musical,track
Hootie,2,1995,Best New Artist,artist
Hope Clarke,1,1972,Best Score From An Original Cast Show Album,album
Horacio El Negro Hernandez,1,2003,Best Latin Jazz Album,album
Houston Chamber Choir,1,2019,Best Choral Performance,track
Houston Grand Opera Children's Chorus,1,2017,Best Opera Recording,track
Houston Grand Opera Orchestra,1,1977,Best Opera Recording,track
Houston Symphony,1,2017,Best Opera Recording,track
Howard Ashman,2,1990,Best Song Written Specifically For A Motion Picture Or For Television,track
Howard Mitchell,1,1959,Best Album Cover,album
Howard Shore,4,2004,"Best Score Soundtrack Album For A Motion Picture, Television Or Other Visual Media",album
Huey Lewis,1,1985,"Best Music Video, Long Form",other
Hugh Jackman,1,2018,Best Compilation Soundtrack For Visual Media,other
Hugh Padgham,1,1985,Producer Of The Year (Non-Classical),other
I Prevail,2,2019,Best Metal Performance,album
I'm,2,2019,Best American Roots Performance,track
Ibrahim Ferrer,1,2003,Best Traditional Tropical Latin Album,album
Ice-T,1,1990,Best Rap Performance By A Duo Or Group,track
Idina Menzel,1,2004,Best Musical Show Album,album
Ike,1,1971,Best R&B Vocal Performance By A Group,track
Ike Turner,1,2006,Best Traditional Blues Album,album
Il Giardino Armonico,2,2000,Best Classical Vocal Performance,track
Ilana Davidson,1,2005,Best Choral Performance,track
Ildar Abdrazakov,1,2010,Best Choral Performance,track
Imagine Dragons,1,2013,Best Rock Performance,track
Imogen Heap,2,2009,"Best Engineered Album, Non-Classical",album
India.Arie,5,2002,Best Urban/Alternative Performance,track
Indigo Girls,1,1989,Best Contemporary Folk Recording,track
Inner Circle,1,1993,Best Reggae Album,album
Intellexual,1,2019,Best Recording Package,track
International Contemporary Ensemble,1,2019,"Best Engineered Album, Classical",album
Intocable,3,2004,Best Mexican/Mexican-American Album,album
Irakere,1,1979,Best Latin Recording,track
Irene Cara,1,1983,"Best Pop Vocal Performance, Female",track
Irma Thomas,1,2006,Best Contemporary Blues Album,album
Iron Maiden,1,2010,Best Metal Performance,track
Isaac Hayes,4,1971,Best Engineered Recording - Non-Classical,other
Isidore Cohen,1,1965,Best Classical Chamber Music Performance - Instrumental Or Vocal,track
Isley Brothers,1,1969,Best R&B Vocal Performance By A Duo Or Group,track
Israel,3,2006,Best Contemporary Christian Music Song,album
Israel And New Breed,1,2007,Best Pop/Contemporary Gospel Album,album
Israel Houghton,2,2009,Best Pop/Contemporary Gospel Album,album
Israel López Cachao,2,2002,Best Traditional Tropical Latin Album,album
Israel Philharmonic Orchestra,3,1975,Best Classical Vocal Soloist Performance,track
Ithaca College Concert Choir,1,1966,Best Classical Choral Performance (Other Than Opera),track
Itzhak Perlman,1,2006,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",album
J Balvin,1,2019,"Best Latin Rock, Urban or Alternative Album",album
J. Cole,4,2019,Best Rap Performance,track
J. Robert Spencer,1,2006,Best Musical Show Album,album
J.B. Hutto,1,1984,Best Traditional Blues Recording,track
J.I.D,1,2019,Best Rap Performance,track
J.J. Johnson,1,1995,Best Instrumental Arrangement,other
J.S. Ondara,1,2019,Best Americana Album,album
JJ Cale,1,2007,Best Contemporary Blues Album,album
Jaap Van Zweden,2,2019,Best Contemporary Classical Composition,album
Jack Cassidy,1,1963,Best Score From An Original Cast Show Album,album
Jack DeJohnette,1,2008,Best New Age Album,album
Jack Gilford,1,1967,Best Score From An Original Cast Show Album,album
Jack Jones,2,1961,"Best Solo Vocal Performance, Male",track
Jack Nicholson,1,1987,Best Recording For Children,track
Jack White,2,2004,Best Country Collaboration With Vocals,other
Jacob Collier,4,2016,"Best Arrangement, Instrumental or A Cappella",other
Jaguares,1,2008,Best Latin Rock Or Alternative Album,album
Jake Hess,3,1968,Best Sacred Performance,track
James Anthony Carmichael,1,1984,Producer Of The Year (Non-Classical),other
James Blake,2,2018,Best Alternative Music Album,album
James Brown,3,1965,Best Album Notes,track
James Burton,1,2008,Best Country Instrumental Performance,track
James Cleveland,3,1974,"Best Soul Gospel Performance, Traditional",track
James Conlon,1,2016,"Best Engineered Album, Classical",album
James Corden,1,2016,Best Song Written For Visual Media,track
James Cotton,1,1996,Best Traditional Blues Album,album
James Dunham,1,1996,Best Chamber Music Performance,track
James Earl Jones,1,1976,Best Spoken Word Recording,track
James Ehnes,1,2018,Best Contemporary Classical Composition,other
James Galway,1,1991,Best Instrumental Composition,other
James Horner,3,1987,Best Instrumental Composition Written For A Motion Picture Or For Television,track
James Ingram,4,1987,Best R&B Performance By A Duo Or Group With Vocal,track
James Levine,3,1982,Best Classical Vocal Performance,track
James Mallinson,3,1979,Classical Producer Of The Year,other
James Moody,1,2010,"Best Jazz Instrumental Album, Individual or Group",album
James Morris,1,2009,Best Choral Performance,track
James Naughton,1,1997,Best Musical Show Album,album
James Newton Howard,1,2008,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",album
James Rado,1,1968,Best Score From An Original Cast Show Album,album
James Taylor,7,1997,"Best Pop Vocal Performance, Male",track
James Whitmore,1,1975,Best Spoken Word Recording,track
Jamie Foxx,1,2009,Best R&B Performance By A Duo Or Group With Vocals,track
Jamiroquai,1,1997,Best Pop Performance By A Duo Or Group With Vocal,track
Jan Hammer,2,1985,Best Instrumental Composition,other
Jan Kraybill,1,2019,Best Immersive Audio Album,album
Jane Connell,1,1966,Best Score From An Original Cast Show Album,album
Jane Ira Bloom,1,2017,Best Surround Sound Album,album
Janelle Monáe,1,2012,Song Of The Year,track
Janet Jackson,5,1989,Best Dance Recording,other
Janis Ian,3,1975,Best Engineered Recording - Non-Classical,track
Jars Of Clay,3,1997,Best Pop/Contemporary Gospel Album,album
Jascha Heifetz,1,1995,Best Historical Album,album
Jason Alexander,1,1989,Best Musical Cast Show Album,album
Jason Crabb,2,2009,Best Roots Gospel Album,album
Jason Isbell,2,2015,Best American Roots Song,album
Jason Isbell And The 400 Unit,2,2017,Best American Roots Song,album
Jason Jones,1,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Jason Mraz,2,2009,Best Male Pop Vocal Performance,other
Jay Rock,1,2018,Best Rap Performance,track
Jay Z,4,2013,Best Music Video,other
Jay-Z,18,2003,Best Rap/Sung Collaboration,track
Jazmine Sullivan,1,2019,Best Traditional R&B Performance,track
Jazz At Lincoln Center Orchestra,1,2019,Best Latin Jazz Album,album
Jazzmeia Horn,1,2019,Best Jazz Vocal Album,album
Jean Stapleton,1,1964,Best Score From An Original Cast Show Album,album
Jeannie C. Riley,1,1968,"Best Country Vocal Performance, Female",track
Jeannie Seely,1,1966,Best Country & Western Vocal Performance - Female,track
Jeff Beck,8,2010,Best Rock Instrumental Performance,track
Jeff Bhasker,1,2015,"Producer Of The Year, Non-Classical",other
Jeff Carson,1,1997,Best Country Song,track
Jeff Lorber Fusion,1,2017,Best Contemporary Instrumental Album,album
Jelly Roll Morton,2,2005,Best Album Notes,album
Jennifer Culp,1,2003,Best Chamber Music Performance,track
Jennifer Gasoi,1,2013,Best Children's Album,album
Jennifer Holliday,2,1982,Best Inspirational Performance,track
Jennifer Hudson,1,2008,Best R&B Album,album
Jennifer Nettles,1,2006,Best Country Collaboration With Vocals,other
Jennifer Warnes,2,1982,Best Pop Performance By A Duo Or Group With Vocal,track
Jerry Douglas,2,2001,Best Country Instrumental Performance,track
Jerry Lanning,1,1966,Best Score From An Original Cast Show Album,album
Jerry Lee Lewis,1,1986,Best Spoken Word Or Non-Musical Recording,track
Jerry Orbach,1,1969,Best Score From An Original Cast Show Album,album
Jerry Reed,3,1970,Best Country Instrumental Performance,track
Jess Glynne,1,2014,Best Dance Recording,track
Jesse,1,2016,Best Latin Pop Album,album
Jesse Jackson,1,1988,Best Spoken Word Or Non-Musical Recording,track
Jessica Bodner,1,2010,Best Chamber Music Performance,track
Jessie Reyez,1,2019,Best Urban Contemporary Album,album
Jesús Rodil,1,2019,Best Classical Solo Vocal Album,album
Jethro Tull,1,1988,Best Hard Rock/Metal Performance Vocal Or Instrumental,track
Jill Haworth,1,1967,Best Score From An Original Cast Show Album,album
Jill O'Hara,1,1969,Best Score From An Original Cast Show Album,album
Jill Scott,3,2004,Best Urban/Alternative Performance,track
Jim Beard,1,2006,Best Large Jazz Ensemble Album,album
Jim Dale,2,2000,Best Spoken Word Album For Children,album
Jim Gaffigan,1,2019,Best Comedy Album,album
Jim Henson's Muppets,1,1985,Best Recording For Children,track
Jim Lauderdale,2,2002,Best Bluegrass Album,album
Jimi Hendrix,1,1999,Best Long Form Music Video,other
Jimmie Vaughan,3,1996,Best Traditional Blues Album,album
Jimmy Buffett,1,2003,Best Country Song,track
Jimmy Carter,3,2006,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Jimmy Cliff,2,1985,Best Reggae Album,album
Jimmy Dean,1,1961,Best Country & Western Recording,track
Jimmy Driftwood,1,1959,Song Of The Year,track
Jimmy Fallon,1,2012,Best Comedy Album,album
Jimmy Gonzalez y El Grupo Mazz,1,2003,Best Tejano Album,album
Jimmy Jam,1,1986,Producer Of The Year (Non-Classical),other
Jimmy Page,1,1998,Best Hard Rock Performance,track
Jimmy Sturr,15,1986,Best Polka Album,album
Jimmy Sturr And His Orchestra,3,2005,Best Polka Album,album
Jo Wilder,1,1963,Best Score From An Original Cast Show Album,album
Jo-EL Sonnier,1,2014,Best Regional Roots Music Album,album
JoAnn Falletta,1,2008,Best Classical Vocal Performance,track
JoJo,1,2019,Best R&B Song,track
Joan Morris,1,2005,Best Choral Performance,track
Joan Rivers,1,2014,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Joan Sebastian,2,2002,Best Mexican/Mexican-American Album,album
Joan Sebástian,2,2006,Best Banda Album,album
Joanna Nickrenz,2,1983,Classical Producer Of The Year,other
Joao Gilberto,1,1964,Best Engineered Recording - Non-Classical,track
Joaquin Phoenix,1,2006,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",album
Jobim,1,1995,Best Latin Jazz Performance,track
Jody Miller,1,1965,Best Country & Western Vocal Performance - Female,track
Jody Watley,1,1987,Best New Artist,artist
Joe Cocker,1,1982,Best Pop Performance By A Duo Or Group With Vocal,track
Joe Diffie,1,1998,Best Country Collaboration With Vocals,other
Joe Harnell,1,1962,Best Performance By An Orchestra - For Dancing,track
Joe Henderson,1,1993,"Best Jazz Instrumental Performance, Individual Or Group",track
Joe Henderson Big Band,1,1997,Best Large Jazz Ensemble Performance,track
Joe Jackson,1,2000,Best Pop Instrumental Album,album
Joe Lovano,1,2000,Best Large Jazz Ensemble Album,album
Joe Morton,1,1974,Best Score From The Original Cast Show Album,album
Joe Pass,1,1974,Best Jazz Performance By A Group,track
Joe Simon,1,1969,"Best R&B Vocal Performance, Male",track
Joe South,2,1969,Best Contemporary Song,track
Joe Williams,1,1984,Best Jazz Vocal Performance,track
Joe Willie Pinetop Perkins,1,2007,Best Traditional Blues Album,album
Joe Zawinul,2,2007,Best Contemporary Jazz Album,album
Joel Grey,2,1967,Best Musical Show Album,album
Joel Guzman,1,2004,Best Tejano Album,album
Joel Krosnick,2,1977,Best Chamber Music Performance,track
Joey DeFrancesco,1,2019,Best Jazz Instrumental Album,album
Joey+Rory,1,2016,Best Roots Gospel Album,album
Johanna Rusanen,1,2016,Best Choral Performance,track
John Addison,1,1963,Best Original Score From A Motion Picture Or Television Show,other
John Aldis Choir,1,1971,Best Opera Recording,track
John Barry,4,1969,Best Instrumental Composition,other
John Coltrane,6,2000,Best Album Notes,album
John Cougar Mellencamp,1,1982,"Best Rock Vocal Performance, Male",track
John Cullum,1,1965,Best Score From An Original Cast Show Album,album
John Cunningham,1,1970,Best Score From An Original Cast Show Album,album
John D. Loudermilk,1,1967,Best Album Notes,album
John Daversa Big Band,2,2018,"Best Arrangement, Instrumental or A Cappella",album
John Denver,1,1997,Best Musical Album For Children,album
John Dossett,1,2003,Best Musical Show Album,album
John F. Kennedy,1,1965,Best Spoken Word Or Drama Recording,track
John Flansburgh,1,2001,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
John Fogerty,1,1997,Best Rock Album,album
John Gallagher,1,2010,Best Musical Show Album,album
John Gielgud,1,1979,"Best Spoken Word, Documentary Or Drama Recording",track
John Hammond,1,1984,Best Traditional Blues Recording,track
John Hartford,4,1967,Best Contemporary Folk Recording,track
John Jorgenson,1,2008,Best Country Instrumental Performance,track
John Lankston,1,1964,Best Score From An Original Cast Show Album,album
John Lee Hooker,4,1997,Best Traditional Blues Album,album
John Legend,13,2005,Best Male R&B Vocal Performance,track
John Lennon,2,1981,Album Of The Year,album
John Linnell,1,2001,"Best Song Written For A Motion Picture, Television Or Other Visual Media",track
John Lloyd Young,1,2006,Best Musical Show Album,album
John Mayer,8,2004,Best Male Pop Vocal Performance,track
John McLaughlin Five Peace Band,1,2009,"Best Jazz Instrumental Album, Individual or Group",album
John McLaughlin Williams,1,2010,"Best Engineered Album, Classical",album
John Michael Montgomery,1,1994,Best Country Song,track
John Oliver,1,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
John Patitucci,1,2019,Best Latin Jazz Album,album
John Paul White,1,2012,Best Song Written For Visual Media,track
John Prine,2,1991,Best Contemporary Folk Album,album
John Prine and Others,1,1986,Best Contemporary Folk Recording,track
John Scofield,3,2010,Best Jazz Instrumental Album,album
John Shanks,1,2004,"Producer Of The Year, Non-Classical",other
John Sherba,1,2003,Best Chamber Music Performance,track
John Starling,1,1991,Best Bluegrass Album,album
John Stephens,1,2015,Best Song Written For Visual Media,track
John Waters,1,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
John Williams,27,1977,Best Instrumental Composition,other
Johnny Cash,14,1968,Best Country Song,track
Johnny Cash And June Carter,1,1970,Best Country Vocal Performance By A Duo Or Group,track
Johnny Copeland,1,1986,Best Traditional Blues Recording,track
Johnny Gimble,2,1993,Best Country Instrumental Performance,track
Johnny Horton,1,1959,Best Country & Western Performance,track
Johnny Mann Singers,2,1961,Best Performance By A Chorus,track
Johnny Mathis,1,2004,Best Instrumental Arrangement Accompanying Vocalist(s),other
Johnny Mike,1,2001,Best Native American Music Album,album
Johnny Whitehorse,1,2007,Best Native American Music Album,album
Johnny Winter,1,2014,Best Blues Album,album
Jon Buckland,1,2008,Song Of The Year,track
Jon Cleary,1,2015,Best Regional Roots Music Album,album
Jon Hendricks,1,1985,"Best Jazz Vocal Performance, Male",track
Jon Samson,1,2019,Best Children's Music Album,album
Jon Secada,2,1992,Best Latin Pop Album,album
Jon Stewart,1,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Jon Stewart And The Cast Of The Daily Show,1,2004,Best Comedy Album,album
Jonah Jones,1,1959,Best Jazz Performance - Group,track
Jonas Brothers,1,2019,Best Pop Duo/Group Performance,track
Jonathan,1,1960,Best Comedy Performance (Musical),track
Jonathan Groff,1,2007,Best Musical Show Album,album
Jonathan Winters,1,1995,Best Spoken Comedy Album,album
Joni Mitchell,9,1995,Best Album Notes,album
Jonny Lang,1,2006,Best Rock Or Rap Gospel Album,album
Jontavious Willis,1,2019,Best Traditional Blues Album,album
Jorge Calandrelli,1,1998,Best Classical Crossover Album,album
Jorja Smith,1,2019,Best Remixed Recording,track
Jose Carreras,1,1985,Best Cast Show Album,album
Jose Feliciano,6,1968,Best Latin Pop Performance,track
Jose Lugo,1,2016,Best Tropical Latin Album,album
Josefina Scaglione,1,2009,Best Musical Show Album,album
Joseph Habedank,1,2019,Best Roots Gospel Album,album
Joseph Silverstein,1,1965,Best Album Cover - Graphic Arts,album
Joseph Warner,1,2015,Best Choral Performance,track
Joshua Bell,3,2001,Best Classical Crossover Album,album
Joshua Guerrero,1,2016,"Best Engineered Album, Classical",album
Joshua Redman Quartet,1,2019,Best Jazz Instrumental Album,album
Joss Favela,1,2019,Best Regional Mexican Music Album (Including Tejano),album
Joss Stone,1,2006,Best R&B Performance By A Duo Or Group With Vocals,track
José Feliciano,1,2008,Best Tropical Latin Album,album
Joy,1,2016,Best Latin Pop Album,album
Joy Nichols,1,1959,Best Broadway Show Album,album
Joy Williams,2,2012,Best Folk Album,album
João Gilberto,2,1964,Album Of The Year,album
Jr.,9,1976,"Best Jazz Vocal Performance, Male",track
Jr. AND ALSO Anthony Newley,1,1962,Song Of The Year,track
"Jr.,",2,1981,Best Country Vocal Collaboration,other
Juan Luis Guerra,1,2007,Best Tropical Latin Album,album
Juan Luis Guerra 4.40,2,1991,Best Tropical Latin Album,album
Juanes,2,2008,Best Latin Pop Album,album
Judas Priest,1,2009,Best Metal Performance,track
Judith Hill,1,2014,Best Music Film,other
Judith Sherman,5,1993,"Producer Of The Year, Classical",other
Judy Collins,2,1968,Best Folk Performance,track
Judy Garland,4,1961,Album Of The Year (Other Than Classical),album
Judy Kuhn,1,1995,Best Song Written Specifically For A Motion Picture Or For Television,track
Juice Newton,1,1982,"Best Country Vocal Performance, Female",track
Juilliard Jazz Orchestra,1,2019,Best Contemporary Classical Composition,other
Jules Buckley,1,2019,"Best Arrangement, Instruments and Vocals",other
Julia Scozzafava,1,2015,Best Choral Performance,track
Julian Marley,1,2019,Best Reggae Album,album
Julie Andrews,3,1964,Best Original Score Written For A Motion Picture Or Television Show,album
Julie Harris,1,1977,Best Spoken Word Recording,track
Julieta Venegas,1,2006,Best Latin Pop Album,album
Julio Iglesias,1,1987,Best Latin Pop Performance,track
June Carter,1,1967,"Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental)",track
June Carter Cash,3,2003,Best Traditional Folk Album,album
June Pointer-Whitmore,1,1984,Best Vocal Arrangement For Two Or More Voices,other
Justice,1,2018,Best Dance/Electronic Album,album
Justin Bieber,1,2015,Best Dance Recording,track
Justin Hurwitz,1,2017,Best Score Soundtrack For Visual Media,other
Justin Timberlake,10,2013,Best Dance Recording,track
K.T. Oslin,3,1988,"Best Country Vocal Performance, Female",track
Kacey Musgraves,6,2018,Best Country Album,album
Kalani Pe'a,2,2016,Best Regional Roots Music Album,album
Kalisz Philharmonic,1,2013,Best Large Jazz Ensemble Album,album
Kansas City Chorale,5,2012,Best Choral Performance,album
Kansas City Symphony,1,2010,Best Surround Sound Album,album
Kanye West,20,2007,Best Rap Song,track
Karen Clark Sheard,1,2009,Best Gospel Performance,track
Karen Kim,1,2010,Best Chamber Music Performance,track
Karen O,1,2019,Best Rock Performance,track
Karl Bohm,1,1976,Best Recording For Children,track
Karl Richardson,1,1978,Producer Of The Year,other
Katarina Karnéus,1,2009,Best Choral Performance,track
Kate Winslet,1,1999,Best Spoken Word Album For Children,album
Kathleen Lenski,1,2001,Best Chamber Music Performance,track
Kathryn Schulmeister,1,2019,Best Classical Solo Vocal Album,album
Kathy Griffin,1,2013,Best Comedy Album,album
Kathy Mattea,3,1990,Best Country Song,track
Kaunas City Symphony Orchestra,1,2019,Best Classical Solo Vocal Album,album
Kay Medford,1,1964,Best Score From An Original Cast Show Album,album
Kazushi Ono,1,2011,Best Classical Vocal Solo,other
Keb' Mo',5,1996,Best Contemporary Blues Album,album
Kee-Hyun Kim,1,2010,Best Chamber Music Performance,track
Keely Smith,1,1958,Best Performance By A Vocal Group Or Chorus,track
Keith Phares,1,2011,"Best Engineered Album, Classical",album
Keith Urban,4,2005,Best Male Country Vocal Performance,track
Kelly Clarkson,3,2005,Best Pop Vocal Album,album
Kelly Rowland,2,2002,Best Rap/Sung Collaboration,other
Ken Burns,1,1991,Best Spoken Word Or Non-Musical Album,album
Ken Cowan,1,2019,Best Choral Performance,track
Ken-David Masur,1,2019,Best Immersive Audio Album,album
Kendrick Lamar,13,2015,Best Rap Performance,track
Kenny G,1,1993,Best Instrumental Composition,other
Kenny Loggins,1,1980,"Best Pop Vocal Performance, Male",track
Kenny Rogers,5,1979,Best Country Song,track
Kentucky Thunder,6,1998,Best Bluegrass Album,album
Kevin Abstract,1,2019,"Producer Of The Year, Non-Classical",other
Kevin Keys,1,2019,Best Choral Performance,track
Kevin Olusola,2,2014,"Best Arrangement, Instrumental or A Cappella",other
Khalid,1,2019,Record Of The Year,track
Kid Cudi,2,2011,Best Rap Song,other
Kierra KiKi Sheard,1,2009,Best Gospel Song,track
Killer Mike,1,2002,Best Rap Performance By A Duo Or Group,track
Killswitch Engage,1,2019,Best Metal Performance,track
Kim Carnes,2,1981,Record Of The Year,track
Kimbra,2,2012,Best Pop Duo/Group Performance,track
King Curtis,1,1969,Best R&B Instrumental Performance,track
Kings Of Leon,4,2009,Best Rock Performance By A Duo Or Group With Vocals,track
Kiri Te Kanawa,1,1985,Best Cast Show Album,album
Kirk Franklin,10,2006,Best Gospel Album,album
Kirk Whalum,1,2010,Best Gospel Song,track
Kirstin Maldonado,2,2014,"Best Arrangement, Instrumental or A Cappella",other
Kitaro,1,2000,Best New Age Album,album
Klaus Voormann,1,1972,Album Of The Year,album
Koffee,1,2019,Best Reggae Album,album
Koko Taylor,1,1984,Best Traditional Blues Recording,track
Konono No 1,1,2010,Best Pop Collaboration With Vocals,other
Kool Moe Dee,1,1990,Best Rap Performance By A Duo Or Group,track
Korn,2,1999,Best Metal Performance,other
Kraftwerk,1,2017,Best Dance/Electronic Album,album
Krayzie Bone,1,2006,Best Rap Performance By A Duo Or Group,track
Kremerata Baltica,1,2019,Best Orchestral Performance,track
Kris Bowers,1,2019,"Best Arrangement, Instrumental or A Cappella",other
Kris Kristofferson,3,1973,Best Country Vocal Performance By A Duo Or Group,track
Krist Novoselic,1,2013,Best Rock Song,track
Kristen Anderson-Lopez,1,2014,Best Song Written For Visual Media,track
Kristin Chenoweth,1,2004,Best Musical Show Album,album
Kronos Quartet,1,2019,"Best Engineered Album, Classical",album
Kunal Nayyar,1,2016,Best Song Written For Visual Media,track
Kurt Elling,1,2009,Best Jazz Vocal Album,album
Kylie Minogue,1,2003,Best Dance Recording,track
Károly Schranz,1,2002,Best Chamber Music Performance,track
Kåre Nordstoga,1,2019,"Producer Of The Year, Classical",other
L'Orchestra Symphonie Montreal,1,1995,Best Opera Recording,track
L.A. Reid,1,1992,Producer Of The Year (Non-Classical),other
LA Opera Chorus,2,2016,"Best Engineered Album, Classical",album
LA Opera Orchestra,1,2016,Best Opera Recording,track
LCD Soundsystem,1,2017,Best Dance Recording,track
LFT Church Choir,1,2001,Best Gospel Choir Or Chorus Album,album
LL Cool J,2,1991,Best Rap Solo Performance,track
La Energia Norteña,1,2019,Best Regional Mexican Music Album (Including Tejano),album
La Familia,2,2007,Best Tejano Album,album
La Ley,1,2000,Best Latin Rock/Alternative Album,album
La Mafia,2,1996,Best Mexican-American/Tejano Music Performance,track
La Quinta Estación,1,2009,Best Latin Pop Album,album
La Roux,1,2010,Best Electronic/Dance Album,album
La Santa Cecilia,1,2013,"Best Latin Rock, Urban or Alternative Album",album
La Scala Opera Orchestra,1,1988,Best Classical Performance - Instrumental Soloist(s) (With Orchestra),track
Lady Antebellum,7,2010,Best Country Album,track
Lady Gaga,12,2010,Best Song Written For Visual Media,track
Ladysmith Black Mambazo,5,1987,Best Traditional World Music Album,album
Lalah Hathaway,6,2016,Best Traditional R&B Performance,track
Lalo Schifrin,3,1967,Best Instrumental Theme,other
Lambert,1,1961,Best Performance By A Vocal Group,track
Lamont Dozier,1,1988,Best Song Written Specifically For A Motion Picture Or Television,track
Lamont Washington,1,1968,Best Score From An Original Cast Show Album,album
Lana Del Rey,3,2019,Album Of The Year,track
Lani Hall,1,1985,Best Latin Pop Performance,track
Larkin Poe,1,2019,Best Contemporary Blues Album,album
Larnelle Harris,5,1985,"Best Gospel Performance, Male",track
Larry Butler,1,1979,Producer Of The Year,other
Larry Carlton,4,1981,Best Pop Instrumental Album,album
Larry Ford,1,2002,"Best Southern, Country, or Bluegrass Gospel Album",album
Larry Franklin,1,1999,Best Country Instrumental Performance,track
Larry Gatlin,1,1976,Best Country Song,track
Larry Hart,1,1978,"Best Gospel Performance, Contemporary Or Inspirational",track
Larry Mullen,1,2004,Best Rock Song,track
Larry Mullen Jr.,3,2005,Song Of The Year,track
Latvian Radio Choir,1,2013,Best Choral Performance,track
